CUDA available : True
Training progress : 24.01%
Training progress : 24.21%
Training progress : 24.40%
Training progress : 24.60%
Training progress : 24.80%
Training progress : 25.00%
Training progress : 25.20%
Training progress : 25.40%
Training progress : 25.60%
Training progress : 25.79%
Training progress : 25.99%
Training progress : 26.19%
Training progress : 26.39%
Training progress : 26.59%
Training progress : 26.79%
Training progress : 26.98%
Training progress : 27.18%
Training progress : 27.38%
Training progress : 27.58%
Training progress : 27.78%
Training progress : 27.98%
Training progress : 28.17%
Training progress : 28.37%
Training progress : 28.57%
Training progress : 28.77%
Training progress : 28.97%
Training progress : 29.17%
Training progress : 29.37%
Training progress : 29.56%
Training progress : 29.76%
Training progress : 29.96%
Training progress : 30.16%
Training progress : 30.36%
Training progress : 30.56%
Training progress : 30.75%
Training progress : 30.95%
Training progress : 31.15%
Training progress : 31.35%
Training progress : 31.55%
Training progress : 31.75%
Training progress : 31.94%
Training progress : 32.14%
Training progress : 32.34%
Training progress : 32.54%
Training progress : 32.74%
Training progress : 32.94%
Training progress : 33.13%
Training progress : 33.33%
Training progress : 33.53%
Training progress : 33.73%
Training progress : 33.93%
Training progress : 34.13%
Training progress : 34.33%
Training progress : 34.52%
Training progress : 34.72%
Training progress : 34.92%
Training progress : 35.12%
Training progress : 35.32%
Training progress : 35.52%
Training progress : 35.71%
Training progress : 35.91%
Training progress : 36.11%
Training progress : 36.31%
Training progress : 36.51%
Training progress : 36.71%
Training progress : 36.90%
Training progress : 37.10%
Training progress : 37.30%
Training progress : 37.50%
Training progress : 37.70%
Training progress : 37.90%
Training progress : 38.10%
Training progress : 38.29%
Training progress : 38.49%
Training progress : 38.69%
Training progress : 38.89%
Training progress : 39.09%
Training progress : 39.29%
Training progress : 39.48%
Training progress : 39.68%
Training progress : 39.88%
Training progress : 40.08%
Training progress : 40.28%
Training progress : 40.48%
Training progress : 40.67%
Training progress : 40.87%
Training progress : 41.07%
Training progress : 41.27%
Training progress : 41.47%
Training progress : 41.67%
Training progress : 41.87%
Training progress : 42.06%
Training progress : 42.26%
Training progress : 42.46%
Training progress : 42.66%
Training progress : 42.86%
Training progress : 43.06%
Training progress : 43.25%
Training progress : 43.45%
Training progress : 43.65%
Training progress : 43.85%
Training progress : 44.05%
Training progress : 44.25%
Training progress : 44.44%
Training progress : 44.64%
Training progress : 44.84%
Training progress : 45.04%
Training progress : 45.24%
Training progress : 45.44%
Training progress : 45.63%
Training progress : 45.83%
Training progress : 46.03%
Training progress : 46.23%
Training progress : 46.43%
Training progress : 46.63%
Training progress : 46.83%
Training progress : 47.02%
Training progress : 47.22%
Training progress : 47.42%
Training progress : 47.62%
Training progress : 47.82%
Training progress : 48.02%
Training progress : 48.21%
Training progress : 48.41%
Training progress : 48.61%
Training progress : 48.81%
Training progress : 49.01%
Training progress : 49.21%
Training progress : 49.40%
Training progress : 49.60%
Training progress : 49.80%
Training progress : 50.00%
Training progress : 50.20%
Training progress : 50.40%
Training progress : 50.60%
Training progress : 50.79%
Training progress : 50.99%
Training progress : 51.19%
Training progress : 51.39%
Training progress : 51.59%
Training progress : 51.79%
Training progress : 51.98%
Training progress : 52.18%
Training progress : 52.38%
Training progress : 52.58%
Training progress : 52.78%
Training progress : 52.98%
Training progress : 53.17%
Training progress : 53.37%
Training progress : 53.57%
Training progress : 53.77%
Training progress : 53.97%
Training progress : 54.17%
Training progress : 54.37%
Training progress : 54.56%
Training progress : 54.76%
Training progress : 54.96%
Training progress : 55.16%
Training progress : 55.36%
Training progress : 55.56%
Training progress : 55.75%
Training progress : 55.95%
Training progress : 56.15%
Training progress : 56.35%
Training progress : 56.55%
Training progress : 56.75%
Training progress : 56.94%
Training progress : 57.14%
Training progress : 57.34%
Training progress : 57.54%
Training progress : 57.74%
Training progress : 57.94%
Training progress : 58.13%
Training progress : 58.33%
Training progress : 58.53%
Training progress : 58.73%
Training progress : 58.93%
Training progress : 59.13%
Training progress : 59.33%
Training progress : 59.52%
Training progress : 59.72%
Training progress : 59.92%
Training progress : 60.12%
Training progress : 60.32%
Training progress : 60.52%
Training progress : 60.71%
Training progress : 60.91%
Training progress : 61.11%
Training progress : 61.31%
Training progress : 61.51%
Training progress : 61.71%
Training progress : 61.90%
Training progress : 62.10%
Training progress : 62.30%
Training progress : 62.50%
Training progress : 62.70%
Training progress : 62.90%
Training progress : 63.10%
Training progress : 63.29%
Training progress : 63.49%
Training progress : 63.69%
Training progress : 63.89%
Training progress : 64.09%
Training progress : 64.29%
Training progress : 64.48%
Training progress : 64.68%
Training progress : 64.88%
Training progress : 65.08%
Training progress : 65.28%
Training progress : 65.48%
Training progress : 65.67%
Training progress : 65.87%
Training progress : 66.07%
Training progress : 66.27%
Training progress : 66.47%
Training progress : 66.67%
Training progress : 66.87%
Training progress : 67.06%
Training progress : 67.26%
Training progress : 67.46%
Training progress : 67.66%
Training progress : 67.86%
Training progress : 68.06%
Training progress : 68.25%
Training progress : 68.45%
Training progress : 68.65%
Training progress : 68.85%
Training progress : 69.05%
Training progress : 69.25%
Training progress : 69.44%
Training progress : 69.64%
Training progress : 69.84%
Training progress : 70.04%
Training progress : 70.24%
Training progress : 70.44%
Training progress : 70.63%
Training progress : 70.83%
Traceback (most recent call last):
  File "/work/FAC/FGSE/IDYST/tbeucler/default/maxdefez/Precipitation_Dowscaling/Coméphore/UNet/CV.py", line 81, in <module>
    weights, loss = train(train_dataset, val_dataset, batch_size, epochs, scheduler, learning_rate, split = k)
                    ~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/work/FAC/FGSE/IDYST/tbeucler/default/maxdefez/Precipitation_Dowscaling/Coméphore/UNet/train.py", line 71, in train
    loss.backward()                         # Compute the gradients
    ~~~~~~~~~~~~~^^
  File "/work/FAC/FGSE/IDYST/tbeucler/default/maxdefez/mamba_root/envs/stvd/lib/python3.13/site-packages/torch/_tensor.py", line 626, in backward
    torch.autograd.backward(
    ~~~~~~~~~~~~~~~~~~~~~~~^
        self, gradient, retain_graph, create_graph, inputs=inputs
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File "/work/FAC/FGSE/IDYST/tbeucler/default/maxdefez/mamba_root/envs/stvd/lib/python3.13/site-packages/torch/autograd/__init__.py", line 347, in backward
    _engine_run_backward(
    ~~~~~~~~~~~~~~~~~~~~^
        tensors,
        ^^^^^^^^
    ...<5 lines>...
        accumulate_grad=True,
        ^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File "/work/FAC/FGSE/IDYST/tbeucler/default/maxdefez/mamba_root/envs/stvd/lib/python3.13/site-packages/torch/autograd/graph.py", line 823, in _engine_run_backward
    return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
        t_outputs, *args, **kwargs
        ^^^^^^^^^^^^^^^^^^^^^^^^^^
    )  # Calls into the C++ engine to run the backward pass
    ^
RuntimeError: element 0 of tensors does not require grad and does not have a grad_fn
